Serial Number,Has VI1→Next?,Has Upgrade→BBD/ASSY1?,Has BBD/ASSY1→FLA/CHIFLASH?,Has Packing→Shipping?,Missing Stations
1654124137805,No,Yes,Yes,Yes,VI1
1654624084535,No,No,Yes,Yes,"VI1, UPGRADE"
1653024049356,No,No,Yes,Yes,"VI1, UPGRADE"
1653724074572,No,No,Yes,Yes,"VI1, UPGRADE"
1654224127669,No,Yes,Yes,Yes,VI1
1654124222324,No,Yes,Yes,Yes,VI1
1654424246636,No,Yes,Yes,Yes,VI1
1654124076690,No,Yes,Yes,Yes,VI1
1652224043019,No,Yes,Yes,Yes,VI1
1654224136082,No,No,Yes,Yes,"VI1, UPGRADE"
1654324170050,No,No,Yes,Yes,"VI1, UPGRADE"
1654824109799,No,No,Yes,Yes,"VI1, UPGRADE"
1654124189978,No,Yes,Yes,Yes,VI1
1654624075293,No,Yes,Yes,Yes,VI1
1654424039874,No,Yes,Yes,Yes,VI1
1652924048337,No,No,Yes,Yes,"VI1, UPGRADE"
1654824090676,No,No,Yes,Yes,"VI1, UPGRADE"
1654624074507,No,No,Yes,Yes,"VI1, UPGRADE"
1652324015793,No,No,Yes,Yes,"VI1, UPGRADE"
1652924025614,No,No,Yes,Yes,"VI1, UPGRADE"
1654124077480,No,No,Yes,Yes,"VI1, UPGRADE"
1654124141219,No,No,Yes,Yes,"VI1, UPGRADE"
1655123036051,No,Yes,Yes,Yes,VI1
1650324002451,No,No,Yes,Yes,"VI1, UPGRADE"
1650324003547,No,No,Yes,Yes,"VI1, UPGRADE"
1650224089672,No,No,Yes,Yes,"VI1, UPGRADE"
1650124041092,No,No,Yes,Yes,"VI1, UPGRADE"
1650324003516,No,No,Yes,Yes,"VI1, UPGRADE"
1650324008726,No,Yes,Yes,Yes,VI1
1655223016713,No,Yes,Yes,Yes,VI1
1650224051940,No,No,Yes,Yes,"VI1, UPGRADE"
1650324066483,No,No,Yes,Yes,"VI1, UPGRADE"
1650324046754,No,No,Yes,Yes,"VI1, UPGRADE"
1655123039039,No,No,Yes,Yes,"VI1, UPGRADE"
1655123036056,No,No,Yes,Yes,"VI1, UPGRADE"
1654523021333,No,No,Yes,Yes,"VI1, UPGRADE"
1655123035620,No,Yes,Yes,Yes,VI1
1650224019590,No,No,Yes,Yes,"VI1, UPGRADE"
1655023064384,No,No,Yes,Yes,"VI1, UPGRADE"
1655223086473,No,No,Yes,Yes,"VI1, UPGRADE"
1655123037551,No,No,Yes,Yes,"VI1, UPGRADE"
1650224009415,No,No,Yes,Yes,"VI1, UPGRADE"
1324922011660,No,Yes,Yes,Yes,VI1
1651624018714,No,Yes,Yes,Yes,VI1
1651124038970,No,Yes,Yes,Yes,VI1
1650424029182,No,Yes,Yes,Yes,VI1
1650224084507,No,Yes,Yes,Yes,VI1
1652923012535,No,No,No,No,"VI1, UPGRADE, PACKING"
1650423005052,No,No,No,No,"VI1, UPGRADE, PACKING"
1650924047334,No,No,No,No,"VI1, UPGRADE, PACKING"
1650524036855,No,No,No,No,"VI1, UPGRADE, PACKING"
1651324056615,No,No,No,No,"VI1, UPGRADE, PACKING"
1654523027489,No,No,No,No,"VI1, UPGRADE, PACKING"
1655222004462,No,No,No,No,"VI1, UPGRADE, PACKING"
1650423010769,No,No,No,No,"VI1, UPGRADE, PACKING"
1650623010358,No,No,No,No,"VI1, UPGRADE, PACKING"
1652323050250,No,No,No,No,"VI1, UPGRADE, PACKING"
1650824028222,Yes,Yes,Yes,No,PACKING
1653524123066,Yes,Yes,Yes,No,PACKING
1651124045363,Yes,Yes,Yes,No,PACKING
1653324107223,Yes,Yes,Yes,No,PACKING
1654124002776,Yes,Yes,Yes,No,PACKING
1322822030287,Yes,No,No,No,"UPGRADE, PACKING"
1322822080115,Yes,No,No,No,"UPGRADE, PACKING"
1322822016214,Yes,No,No,No,"UPGRADE, PACKING"
1322822014976,Yes,No,No,Yes,UPGRADE
1653022024130,Yes,No,No,No,"UPGRADE, PACKING"
1652922034225,Yes,No,No,No,"UPGRADE, PACKING"
1323222005846,Yes,No,No,No,"UPGRADE, PACKING"
1322922049563,Yes,No,No,Yes,UPGRADE
1654322010324,Yes,No,No,No,"UPGRADE, PACKING"
1654422002566,Yes,No,No,No,"UPGRADE, PACKING"
1650424033919,Yes,Yes,Yes,No,SHIPPING
1650424033662,Yes,Yes,Yes,No,SHIPPING
1650424032449,Yes,Yes,Yes,No,SHIPPING
1651723006557,Yes,Yes,Yes,No,SHIPPING
1651923012363,Yes,Yes,Yes,No,SHIPPING
1651923012654,Yes,Yes,Yes,No,SHIPPING
1564121000002,Yes,No,No,Yes,UPGRADE
1655222021576,Yes,No,No,Yes,"UPGRADE, FLA/CHIFLASH"
1654322009308,Yes,No,Yes,Yes,UPGRADE
1563321000015,Yes,No,No,Yes,"UPGRADE, FLA/CHIFLASH"
1651622024168,Yes,No,No,Yes,UPGRADE
1653023025290,Yes,Yes,No,Yes,FLA/CHIFLASH
1651623015111,Yes,Yes,Yes,No,SHIPPING
1654923082585,Yes,Yes,Yes,No,SHIPPING
1654723045062,Yes,Yes,Yes,No,SHIPPING
1654823046075,Yes,Yes,Yes,No,SHIPPING
1654823047466,Yes,Yes,Yes,No,SHIPPING
1651123017349,Yes,Yes,Yes,No,SHIPPING
1650524051980,Yes,Yes,Yes,No,SHIPPING
1650924067258,Yes,Yes,Yes,No,SHIPPING
1650624022261,Yes,Yes,Yes,No,SHIPPING
1650324092388,Yes,Yes,Yes,No,SHIPPING
1650324091615,Yes,Yes,Yes,No,SHIPPING
1650324049874,Yes,Yes,Yes,No,SHIPPING
1650324092381,Yes,Yes,Yes,No,SHIPPING
1655223073225,Yes,Yes,Yes,No,SHIPPING
1654223013608,Yes,Yes,Yes,No,SHIPPING
1654223012807,Yes,Yes,Yes,No,SHIPPING
1650524056814,Yes,Yes,Yes,No,SHIPPING
1323222053573,Yes,Yes,No,Yes,FLA/CHIFLASH
1322922007236,No,Yes,Yes,Yes,VI1
1322822079760,No,Yes,Yes,Yes,VI1
1652922033526,No,No,Yes,Yes,"VI1, UPGRADE"
1321022090083,No,Yes,Yes,Yes,VI1
1322822087070,No,Yes,Yes,Yes,VI1
1564121000058,No,No,No,Yes,"VI1, UPGRADE"
1653523066995,No,Yes,Yes,Yes,VI1
1565221000009,No,No,No,Yes,"VI1, UPGRADE"
1654222017086,No,Yes,Yes,Yes,VI1
1652222006849,No,Yes,Yes,Yes,VI1
1565221000030,No,No,No,Yes,"VI1, UPGRADE"
